Customer ID,Customer Title,Customer First Name,Customer Middle Name,Customer Last Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
1354,Mr.,AARON,,Dillon,Consumer,Single,Male,2/5/1997,12/31/2007,,19181,TermLife,Coverage for a certain period of time,19181_1354,HSB_Termclaim_23579,5000,Quarterly,12/31/2007,12/27/2036,3/31/2011,9/25/2011,U.S.A,Central,Texas,Weatherford,76086,500000,60000
697,Mister.,Adam,G,Sawyer,Corporate,Married,Male,2/5/1997,6/30/2011,,19182,WholeLife,Remain in force for the insured's entire lifetime,19182_697,HSB_WholeLife_22468,60000,Half Yearly,6/30/2011,1/1/2112,6/30/2012,12/31/2012,USA,Central,Indiana,East Chicago,46312,400000,120000
674,Mr,AlBERT,,FROST,Small Business,Divorced,Male,2/6/1993,12/31/2009,,19183,Endowment,Pay a lump sum on its maturity or on death.,19183_674,HSB_Endowment_19183,5000,Quarterly,12/31/2009,1/1/2112,3/31/2013,9/25/2013,USA,Central,Missouri,Raytown,64133,500000,60000
188,Mrs.,ALEX,,harrell,Corporate,Single,Male,2/5/1997,12/31/2010,,19184,Moneyback,The insured person gets a percentage of sum assured at regular intervals,19184_188,HSB_Moneyback_19184,5000,Quarterly,12/31/2010,12/27/2036,3/31/2014,9/25/2014,United States Of America,Central,Texas,Gainesville,76240,500000,60000
188,Mrs.,ALEX,,harrell,Corporate,Single,Male,2/5/1997,12/31/2010,,19184,Moneyback,The insured person gets a percentage of sum assured at regular intervals,19184_188,HSB_Moneyback_19184,5000,Quarterly,12/31/2010,12/27/2036,3/31/2014,9/25/2014,United States Of America,Central,Texas,Gainesville,76240,500000,60000
3106,Mistress.,AleXander,,O'Brien,Home Office,Married,Male,2/5/1996,12/31/2007,,19185,ChildPlan,Insurance cum investment plan to secure child's future,19185_3106,HSB_ChildPlan_19185,5000,Quarterly,12/31/2007,12/27/2035,3/31/2011,9/25/2011,US,Central,Texas,Houston,77041,500000,60000
597,Mr.,AlexandrA,,WISE,Small Business,Divorced,Male,2/5/1998,12/30/2008,,19186,UnitLinked,Market-linked product that aggregates the very best of investment and insurance,19186_597,HSB_UnitLinked_19186,5000,Quarterly,12/30/2008,12/27/2037,3/30/2012,9/24/2012,United States Of America,Central,Indiana,Columbus,47201,500000,60000
2108,Mr.,Alfred,,Barber,Corporate,Single,Male,2/5/1998,12/31/2009,,19187,AnnuityPlan,Income stream for retirees,19187_2108,HSB_AnnuityPlan_19187,5000,Quarterly,12/31/2009,12/27/2037,3/31/2013,9/25/2013,US,Central,Missouri,Mehlville,63129,500000,60000
539,Miss.,Alice,,Coley,Small Business,Married,Female,2/5/1998,12/31/2014,,13579,Mediclaim,Related to Life or Personal Claim,13579_539,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2014,12/27/2037,3/31/2018,9/25/2018,US,Central,Illinois,Urbana,61801,500000,60000
1484,Dr.,Alison,,Stewart,Home Office,Divorced,Male,2/5/1995,1/1/2015,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1484,HSB_Jewel_02468,60000,Half Yearly,1/1/2015,12/27/2034,7/1/2015,1/1/2016,United States Of America,Central,Illinois,Des Plaines,60016,400000,60000
