Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
1907,Doctor. Amy Hall,Corporate,Married,Female,2/6/1998,4/1/2012,,13579,Mediclaim,Related to Life or Personal Claim,13579_1907,HSB_Lifeclaim_13579,5000,Quarterly,4/1/2012,12/28/2037,7/1/2015,1/1/2016,US,East,Ohio,Lorain,44052,500000,60000
2618,Doctor. Amy Hamrick Melvin,Corporate,Married,Female,2/5/1996,12/31/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2618,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2007,12/27/2035,3/31/2011,9/25/2011,US,East,New York,New York City,10004,500000,60000
460,Doctor. Anne Armstrong,Home Office,Married,Female,2/6/1991,1/2/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_460,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2008,12/28/2030,4/2/2011,9/27/2011,U.S,East,New Jersey,Millville,8332,500000,60000
3012,Doctor. Annie Livingston,Corporate,Married,Female,2/5/1991,12/31/2009,,13579,Mediclaim,Related to Life or Personal Claim,13579_3012,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2009,12/27/2030,3/31/2013,9/25/2013,US,East,New York,Rochester,14609,500000,60000
331,Doctor. Bradley Pollock,Home Office,Single,Male,2/9/1992,1/1/2009,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_331,HSB_Jewel_02468,60000,Half Yearly,1/1/2009,12/31/2031,7/1/2009,1/1/2010,United States,East,New Hampshire,Goffstown,3045,400000,60000
2162,Doctor. Brenda Jain,Corporate,Single,Male,2/5/1990,10/1/2008,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_2162,HSB_Jewel_02468,60000,Half Yearly,10/1/2008,12/27/2029,3/31/2009,9/25/2009,U.S,East,Pennsylvania,Sharon,16146,400000,60000
142,Doctor. Brooke Weeks Taylor,Small Business,Single,Male,2/6/1990,12/31/2005,,13579,Mediclaim,Related to Life or Personal Claim,13579_142,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2005,12/28/2029,3/31/2009,9/25/2009,US,East,Connecticut,Ansonia,6401,500000,60000
398,Doctor. Bruce Stark,Corporate,Single,Male,12/9/1989,6/1/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_398,HSB_Auto_98765,2000,Monthly,6/1/2007,12/29/2029,7/1/2010,1/1/2011,United States,East,Ohio,Dayton,45406,200000,72000
929,Doctor. Calvin Conway,Small Business,Single,Male,12/8/1990,3/3/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_929,HSB_Auto_98765,2000,Monthly,3/3/2007,12/28/2030,4/3/2010,9/28/2010,United States,East,New Jersey,Old Bridge,8857,200000,72000
2797,Doctor. Cameron Kendall,Corporate,Divorced,Male,2/5/1990,4/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2797,HSB_Lifeclaim_13579,5000,Quarterly,4/1/2007,12/27/2029,7/1/2010,1/1/2011,United States,East,Pennsylvania,Pittsburgh,15122,500000,60000
