Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
2359,Doctor Annie Horne,Home Office,Married,Female,2/6/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2359,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/28/2029,4/2/2010,4/12/2010,United States,South,Florida,Fort Myers,33917,500000,60000
2285,Doctor Arnold Floyd Blair,Corporate,Married,Male,2/6/1993,1/2/2010,,13579,Mediclaim,Related to Life or Personal Claim,13579_2285,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2010,12/28/2032,4/2/2013,4/12/2013,USA,South,South Carolina,Rock Hill,29730,500000,60000
2395,Doctor Beverly Roberts,Corporate,Single,Female,2/8/1990,1/4/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2395,HSB_Lifeclaim_13579,5000,Quarterly,1/4/2007,12/30/2029,4/4/2010,4/14/2010,USA,South,Georgia,Savannah,31401,500000,60000
507,Doctor Carol Saunders,Corporate,Single,Male,2/5/1990,12/30/2009,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_507,HSB_Jewel_02468,60000,Half Yearly,12/30/2009,12/27/2029,6/30/2010,7/20/2010,US,South,Kentucky,Bowling Green,42104,400000,60000
3347,Doctor Carrie McIntosh,Consumer,Divorced,Male,2/5/1991,12/30/2010,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_3347,HSB_Jewel_02468,60000,Half Yearly,12/30/2010,12/27/2030,6/30/2011,7/20/2011,United States,South,Florida,Royal Palm Beach,33411,400000,60000
3128,Doctor Cathy Burgess,Small Business,Divorced,Male,2/7/1990,1/3/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_3128,HSB_Lifeclaim_13579,5000,Quarterly,1/3/2007,12/29/2029,4/3/2010,4/13/2010,US,South,Louisiana,Shreveport,71109,500000,60000
3224,Doctor Claudia White,Small Business,Divorced,Female,12/8/1990,1/1/2008,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_3224,HSB_Auto_98765,2000,Monthly,1/1/2008,12/28/2030,2/1/2011,3/3/2011,US,South,Tennessee,Gallatin,37066,200000,72000
2137,Doctor Crystal Crabtree,Corporate,Single,Male,2/6/1991,1/2/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_2137,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2008,12/28/2030,4/2/2011,4/12/2011,United States,South,Florida,West Palm Beach,33407,500000,60000
2720,Doctor Donna Block,Small Business,Single,Male,2/5/1989,12/30/2008,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_2720,HSB_Jewel_02468,60000,Half Yearly,12/30/2008,12/27/2028,6/30/2009,7/20/2009,USA,South,Georgia,Dalton,30721,400000,60000
2454,Doctor Donna Braun,Corporate,Single,Male,2/5/1990,12/30/2009,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_2454,HSB_Jewel_02468,60000,Half Yearly,12/30/2009,12/27/2029,6/30/2010,7/20/2010,United States,South,Alabama,Hoover,35244,400000,60000
