Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
2638,Doctor. ALICIA WoOd ShaH,Consumer,Married,Female,2/5/1998,12/30/2017,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_2638,HSB_Jewel_02468,60000,Half Yearly,12/30/2017,12/27/2037,6/30/2018,7/20/2018,U.S.A,West,Idaho,Boise,83704,400000,60000
2745,Doctor. Arnold GAY,Corporate,Married,Male,12/9/1992,1/2/2010,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2745,HSB_Auto_98765,2000,Monthly,1/2/2010,12/29/2032,2/2/2013,,US,West,Arizona,Chandler,85224,200000,72000
357,Doctor. bArBAra McNamara,Corporate,Single,Female,12/8/1992,1/1/2010,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_357,HSB_Auto_98765,2000,Monthly,1/1/2010,12/28/2032,2/1/2013,,U.S.A,West,Arizona,Kingman,86401,200000,72000
3264,Doctor. Becky Puckett,Corporate,Single,Male,2/9/1993,1/5/2010,,13579,Mediclaim,Related to Life or Personal Claim,13579_3264,HSB_Lifeclaim_13579,5000,Quarterly,1/5/2010,12/31/2032,4/5/2013,4/15/2013,U.S.A,West,California,Eureka,95501,500000,60000
617,Doctor. brett sCHultz,Consumer,Single,Male,2/5/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_617,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/27/2029,4/1/2010,4/11/2010,U.S,West,Colorado,Pueblo,81001,500000,60000
1391,Doctor. Carolyn Greer,Small Business,Single,Male,2/5/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1391,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/27/2029,4/1/2010,4/11/2010,U.S,West,California,Sunnyvale,94086,500000,60000
2803,Doctor. Catherine Dorsey Burnett,Small Business,Divorced,Male,2/5/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2803,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/27/2029,4/1/2010,4/11/2010,United States Of America,West,California,East Los Angeles,90022,500000,60000
820,Doctor. Catherine Mullins,Small Business,Single,Male,2/6/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_820,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/28/2029,4/2/2010,4/12/2010,United States Of America,West,Washington,Walla Walla,99362,500000,60000
3064,Doctor. Clarence Crowder,Consumer,Divorced,Female,2/6/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_3064,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/28/2029,4/2/2010,4/12/2010,US,West,Washington,Lacey,98503,500000,60000
2355,Doctor. Clyde Burnett,Consumer,Single,Female,12/7/1989,12/31/2006,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2355,HSB_Auto_98765,2000,Monthly,12/31/2006,12/27/2029,1/31/2010,,U.S,West,California,Coachella,92236,200000,72000
1723,Doctor. Constance Flowers,Corporate,Single,Female,2/5/1992,12/31/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_1723,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2008,12/27/2031,3/31/2012,4/10/2012,United States,West,California,San Diego,92037,500000,60000
1989,Doctor. David Weaver,Home Office,Single,Male,2/5/1993,1/1/2010,,13579,Mediclaim,Related to Life or Personal Claim,13579_1989,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2010,12/27/2032,4/1/2013,4/11/2013,United States Of America,West,Utah,Holladay,84117,500000,60000
549,Doctor. Dennis Boykin Townsend,Corporate,Single,Male,2/6/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_549,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/28/2029,4/2/2010,4/12/2010,United States,West,New Mexico,Roswell,88201,500000,60000
3325,Doctor. Diane Barr,Consumer,Widowed,Male,2/5/1992,12/31/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_3325,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2008,12/27/2031,3/31/2012,4/10/2012,U.S,West,Oregon,Coos Bay,97420,500000,60000
922,Doctor. Dolores Abrams,Small Business,Single,Male,2/6/1992,12/30/2011,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_922,HSB_Jewel_02468,60000,Half Yearly,12/30/2011,12/28/2031,6/30/2012,7/20/2012,U.S,West,California,Rancho Cucamonga,91730,400000,60000
1189,Doctor. Dwight Stephenson,Consumer,Single,Male,12/7/1990,12/31/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1189,HSB_Auto_98765,2000,Monthly,12/31/2007,12/27/2030,1/31/2011,,US,West,California,Huntington Beach,92646,200000,72000
1374,Doctor. Earl Buck,Home Office,Single,Male,2/7/1991,1/3/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_1374,HSB_Lifeclaim_13579,5000,Quarterly,1/3/2008,12/29/2030,4/3/2011,4/13/2011,U.S.A,West,California,Stockton,95207,500000,60000
485,Doctor. Edward Leonard,Corporate,Single,Male,2/5/1989,1/1/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_485,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2006,12/27/2028,4/1/2009,4/11/2009,US,West,California,Fresno,93727,500000,60000
259,Doctor. Edward Pugh,Consumer,Single,Male,2/5/1991,1/1/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_259,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2008,12/27/2030,4/1/2011,4/11/2011,United States Of America,West,New Mexico,Santa Fe,87505,500000,60000
880,Doctor. Ellen Beck,Small Business,Single,Male,2/5/1992,12/31/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_880,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2008,12/27/2031,3/31/2012,4/10/2012,U.S.A,West,Arizona,Scottsdale,85254,500000,60000
3209,Doctor. Elsie Floyd,Corporate,Married,Male,2/5/1993,12/30/2012,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_3209,HSB_Jewel_02468,60000,Half Yearly,12/30/2012,12/27/2032,6/30/2013,7/20/2013,United States,West,California,Beverly Hills,90210,400000,60000
949,Doctor. Ernest Oh,Consumer,Single,Male,2/5/1991,1/1/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_949,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2008,12/27/2030,4/1/2011,4/11/2011,US,West,California,Los Angeles,90049,500000,60000
993,Doctor. Gail Currin,Small Business,Single,Male,2/5/1993,1/1/2010,,13579,Mediclaim,Related to Life or Personal Claim,13579_993,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2010,12/27/2032,4/1/2013,4/11/2013,United States Of America,West,California,Oxnard,93030,500000,60000
308,Doctor. Glen Caldwell,Small Business,Single,Male,2/5/1992,12/29/2011,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_308,HSB_Jewel_02468,60000,Half Yearly,12/29/2011,12/27/2031,6/29/2012,7/19/2012,United States,West,Washington,Seattle,98115,400000,60000
1425,Doctor. Gregory Crane,Small Business,Single,Male,2/5/1989,12/30/2008,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_1425,HSB_Jewel_02468,60000,Half Yearly,12/30/2008,12/27/2028,6/30/2009,7/20/2009,US,West,Colorado,Fort Collins,80525,400000,60000
1280,Doctor. Harold Albright,Corporate,Single,Male,2/5/1991,1/1/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_1280,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2008,12/27/2030,4/1/2011,4/11/2011,United States Of America,West,Washington,Seattle,98119,500000,60000
3149,Doctor. Harriet Moore,Corporate,Married,Male,12/7/1988,12/31/2005,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_3149,HSB_Auto_98765,2000,Monthly,12/31/2005,12/27/2028,1/31/2009,,United States Of America,West,Idaho,Rexburg,83440,200000,72000
851,Doctor. Helen H Heller,Corporate,Single,Male,2/5/1994,1/1/2011,,13579,Mediclaim,Related to Life or Personal Claim,13579_851,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2011,12/27/2033,4/1/2014,4/11/2014,United States,West,California,Hacienda Heights,91745,500000,60000
3393,Doctor. Irene Murphy,Consumer,Married,Male,2/5/1992,12/31/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_3393,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2008,12/27/2031,3/31/2012,4/10/2012,United States Of America,West,Washington,Pullman,99163,500000,60000
699,Doctor. Jenny Gold,Consumer,Single,Male,2/5/1998,1/1/2015,,13579,Mediclaim,Related to Life or Personal Claim,13579_699,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2015,12/27/2037,4/1/2018,4/11/2018,United States,West,California,Los Angeles,90041,500000,60000
1609,Doctor. Jerry Ennis,Consumer,Single,Male,2/5/1992,12/31/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_1609,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2008,12/27/2031,3/31/2012,4/10/2012,United States Of America,West,California,Sacramento,95823,500000,60000
744,Doctor. Joy Maxwell,Consumer,Single,Female,2/5/1993,12/30/2012,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_744,HSB_Jewel_02468,60000,Half Yearly,12/30/2012,12/27/2032,6/30/2013,7/20/2013,U.S.A,West,Arizona,Oro Valley,85737,400000,60000
451,Doctor. Joyce Murray,Home Office,Single,Female,2/5/1994,1/1/2011,,13579,Mediclaim,Related to Life or Personal Claim,13579_451,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2011,12/27/2033,4/1/2014,4/11/2014,U.S,West,California,Los Altos,94024,500000,60000
1956,Doctor. Justin Frank,Consumer,Single,Female,2/5/1995,12/30/2014,,2468,Mortgages,"Related to Ornaments, Property Claim",02468_1956,HSB_Jewel_02468,60000,Half Yearly,12/30/2014,12/27/2034,6/30/2015,7/20/2015,US,West,Colorado,Louisville,80027,400000,60000
